code,value_represented
AIRNOW MAPS,"The parameters represented on AirNow maps (88101, 88502, and 44201)"
ALL,Select all Parameters Available
AQI POLLUTANTS,Pollutants that have an AQI Defined
CORE_HAPS,Urban Air Toxic Pollutants
CRITERIA,Criteria Pollutants
CSN DART,List of CSN speciation parameters to populate the STI DART tool
FORECAST,Parameters routinely extracted by AirNow (STI)
HAPS,Hazardous Air Pollutants
IMPROVE CARBON,IMPROVE Carbon Parameters
IMPROVE_SPECIATION,PM2.5 Speciated Parameters Measured at IMPROVE sites
MET,Meteorological Parameters
NATTS CORE HAPS,The core list of toxics of interest to the NATTS program.
NATTS REQUIRED,Required compounds to be collected in the National Air Toxics Network
PAMS,Photochemical Assessment Monitoring System
PAMS_VOC,Volatile Organic Compound subset of the PAMS Parameters
PM COARSE,PM between 2.5 and 10 micrometers
PM10 SPECIATION,PM10 Speciated Parameters
PM2.5 CONT NONREF,"PM2.5 Continuous, Nonreference Methods"
PM2.5 MASS/QA,PM2.5 Mass and QA Parameters
SCHOOL AIR TOXICS,School Air Toxics Program Parameters
SPECIATION,PM2.5 Speciated Parameters
SPECIATION CARBON,PM2.5 Speciation Carbon Parameters
SPECIATION CATION/ANION,PM2.5 Speciation Cation/Anion Parameters
SPECIATION METALS,PM2.5 Speciation Metal Parameters
UATMP CARBONYL,Urban Air Toxics Monitoring Program Carbonyls
UATMP VOC,Urban Air Toxics Monitoring Program VOCs
VOC,Volatile organic compounds
